Name,Tags,Read,Authors,Ranking,Created,URL,Remarques,Durée,Date
How to launch a new business - 3 approaches,"Innovation, Venture Builder",No,McKinsey,,"July 17, 2023 2:53 PM",,,8,
"THE EMERGENCE OF ”EXPERTS OF THE
UNKNOWN” -LEARNINGS FROM RENAULT AND
SNCF",Innovation,No,,,"July 17, 2023 2:52 PM",,,8,
Pense bete ChatGPT,"DIGITAL, IA",Yes,,3-Stars,"July 17, 2023 11:34 AM",,,8,
Reconstructing the Mind’s Eye: fMRI-to-Image with Contrastive Learning and Diffusion Priors — Stability AI,"DIGITAL, IA",No,,,"July 17, 2023 10:34 AM",https://stability.ai/research/minds-eye?utm_source=bensbites&utm_medium=referral&utm_campaign=code-interpreter-and-gpt-4-api,,9,
Exploring opportunities in the gen AI value chain | McKinsey,"DIGITAL, IA",No,McKinsey,,"July 16, 2023 7:32 PM",https://www.mckinsey.com/capabilities/quantumblack/our-insights/exploring-opportunities-in-the-generative-ai-value-chain,,9,
How do we know how smart AI systems are?,"DIGITAL, IA",No,,,"July 14, 2023 8:18 AM",https://www.science.org/doi/10.1126/science.adj5957,,12,
When start-ups scale up: Lessons on building up culture and talent | McKinsey,"Innovation, Intrapreneurship, Venture Builder",No,,,"July 11, 2023 1:23 PM",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/when-start-ups-scale-up-lessons-on-building-up-culture-and-talent,,14,
How incumbents scale up their new businesses | McKinsey,,No,,,"July 11, 2023 1:22 PM",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-big-boost-how-incumbents-successfully-scale-their-new-businesses,,14,
Why generative AI needs a creative human touch | MIT Sloan,"DIGITAL, IA",No,,,"July 10, 2023 9:37 AM",https://mitsloan.mit.edu/ideas-made-to-matter/why-generative-ai-needs-a-creative-human-touch,,16,
How to Train Generative AI Using Your Company’s Data,"DIGITAL, Innovation",No,,,"July 7, 2023 3:17 PM",https://hbr.org/2023/07/how-to-train-generative-ai-using-your-companys-data?ab=hero-main-text,,18,
AI History,"DIGITAL, IA",No,,4-Stars,"July 3, 2023 8:17 AM",,,23,
"Avec Document AI, Snowflake se lance dans la course au LLM","DIGITAL, IA",No,,,"June 29, 2023 9:40 PM",https://www.lemondeinformatique.fr/actualites/lire-avec-document-ai-snowflake-se-lance-dans-la-course-au-llm-90866.html,,26,
How a Key Architect of Lean Startup Uses His Own Lessons to Scale up,"Innovation, Intrapreneurship",No,,,"June 29, 2023 6:13 PM",https://www-businessinsider-com.cdn.ampproject.org/c/s/www.businessinsider.com/architect-of-lean-startup-uses-own-lessons-to-scale-up-2020-3?amp,,26,
Innovation to Business Schaeffler,Innovation,No,,5-Stars,"June 28, 2023 7:33 PM",,A lire important,27,
Comment se créent les standards technologiques ?,,No,,,"June 28, 2023 4:44 PM",https://15marches.substack.com/p/comment-se-creent-les-standards-technologiques,,27,
"20VC: Why No Models Today Will Be Used in a Year, Why Open Will Always Beat Closed in AI, Why Proprietary Data is Less Important Than Ever And Why EU AI Regulation is a Disaster with Alex Lebrun, Founder & CEO @ Nabla - 20VC",,No,,,"June 28, 2023 8:46 AM",https://www.thetwentyminutevc.com/alex-lebrun/,,28,
Exploring opportunities in the gen AI value chain | McKinsey,"DIGITAL, IA",No,,,"June 26, 2023 4:13 PM",https://www.mckinsey.com/capabilities/quantumblack/our-insights/exploring-opportunities-in-the-generative-ai-value-chain?cid=other--soc-lkn-bam-ip-mip----&sid=soc-POST_ID&linkId=221867230,,29,
Sales Curves,MANAGEMENT,No,,,"June 26, 2023 1:40 PM",https://hbr.org/download/subscriber/reprint/R0607J-PDF-ENG,,29,
IA Gen et creativite,"DIGITAL, IA",No,,,"June 26, 2023 1:40 PM",https://hbr.org/download/subscriber/reprint/R2304C-PDF-ENG,,29,
Inside the AI Factory,"DIGITAL, IA",No,,,"June 26, 2023 1:04 PM",https://www.theverge.com/features/23764584/ai-artificial-intelligence-data-notation-labor-scale-surge-remotasks-openai-chatbots,,29,
Clonage de voix et synthèse vocale : des IA qui parlent (presque) comme des humains,"DIGITAL, IA",No,,,"June 26, 2023 10:09 AM",https://theconversation.com/clonage-de-voix-et-synthese-vocale-des-ia-qui-parlent-presque-comme-des-humains-205668,,30,
Explore - Reshape - Exploit Biz,Innovation,Yes,,4-Stars,"June 26, 2023 9:14 AM",,,30,
Tesla is winning the EV charging format war - The Verge,"EV ARTICLE, MOBILITY",Yes,,3-Stars,"June 26, 2023 9:08 AM",https://www.theverge.com/2023/6/9/23755184/tesla-ev-charging-standard-nacs-ccs-gm-ford,,30,
https://youtube.com/watch?v=fTEwGcPqLa8&feature=share,,,,,"June 25, 2023 11:31 PM",,,30,
https://youtube.com/watch?v=riXpu1tHzl0&feature=share,,,,,"June 25, 2023 11:30 PM",,,30,
Three Lessons From Chatting About Strategy With ChatGPT,DIGITAL,No,MIT,,"June 25, 2023 11:05 PM",https://sloanreview.mit.edu/article/three-lessons-from-chatting-about-strategy-with-chatgpt/?utm_source=newsletter&utm_medium=email&utm_content=where%20it%20falls%20short&utm_campaign=Enews%20BOTW%206/2/2023,,30,
Que faut-il savoir sur ChatGPT ?,DIGITAL,Yes,15 Marches,4-Stars,"June 25, 2023 10:46 PM",https://15marches.substack.com/p/que-faut-il-savoir-sur-chatgpt?utm_medium=email,,30,
Silicon Valley Confronts the Singularity - The New York Times,,,,,"June 12, 2023 6:20 PM",https://www.nytimes.com/2023/06/11/technology/silicon-valley-confronts-the-idea-that-the-singularity-is-here.html,,43,
GPT best practices - OpenAI API,,,,,"June 7, 2023 3:52 PM",https://platform.openai.com/docs/guides/gpt-best-practices/strategy-write-clear-instructions,,48,
What a teardown of the latest electric vehicles reveals about the future of mass-market EVs | McKinsey,,,,,"June 7, 2023 3:19 PM",https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/what-a-teardown-of-the-latest-electric-vehicles-reveals-about-the-future-of-mass-market-evs,,48,
Work Trend Index | Will AI Fix Work?,"DIGITAL, IA, Innovation",No,Microsoft,,"June 5, 2023 11:55 AM",https://www.microsoft.com/en-us/worklab/work-trend-index/will-ai-fix-work?ranMID=24542&ranEAID=TnL5HPStwNw&ranSiteID=TnL5HPStwNw-nYni1x9yKlZIMgQ9r4gEyw&epi=TnL5HPStwNw-nYni1x9yKlZIMgQ9r4gEyw&irgwc=1&OCID=AID2200057_aff_7593_1243925&tduid=%28ir__vnqe9d0zsckfdjwmjoiett0g1f2xe0ddgtnms12x00%29%287593%29%281243925%29%28TnL5HPStwNw-nYni1x9yKlZIMgQ9r4gEyw%29%28%29&irclickid=_vnqe9d0zsckfdjwmjoiett0g1f2xe0ddgtnms12x00,,50,
Design Grand Groupes,"Design, Innovation",No,,,"May 25, 2023 5:44 PM",,,61,
Building new businesses in mobility with Travis Katz and Asad Husain | McKinsey,"Innovation, Intrapreneurship, MOBILITY",Yes,,4-Stars,"May 23, 2023 2:51 PM",https://www.mckinsey.com/features/mckinsey-center-for-future-mobility/our-insights/drivers-of-disruption/building-new-businesses-in-mobility-with-travis-katz-and-asad-husain,,63,
